Kilométrage,Prix,Cluster
5625.0,18499.0,0
21277.0,26999.0,1
82795.0,8999.0,2
74980.0,14799.0,2
60513.0,10999.0,2
48450.0,12799.0,0
7110.0,16999.0,0
114385.0,11799.0,2
43689.0,12499.0,0
5291.0,18399.0,0
17179.0,15999.0,0
11848.0,18399.0,0
54529.0,14999.0,0
8965.0,16999.0,0
36105.0,10499.0,0
13052.0,22099.0,0
39540.0,13299.0,0
40175.0,13799.0,0
140811.0,10999.0,2
9263.0,17499.0,0
13526.0,27699.0,1
73000.0,12799.0,2
21880.0,22499.0,0
34032.0,13499.0,0
128330.0,15799.0,2
44498.0,15099.0,0
18130.0,18699.0,0
36564.0,14799.0,0
8128.0,17899.0,0
46735.0,13999.0,0
19760.0,31499.0,1
45775.0,13999.0,0
38185.0,13699.0,0
52170.0,10499.0,0
37280.0,11999.0,0
16116.0,17899.0,0
35648.0,12699.0,0
58916.0,19499.0,0
30600.0,12799.0,0
11980.0,18499.0,0
11236.0,19399.0,0
41101.0,13499.0,0
17877.0,15799.0,0
11772.0,17899.0,0
69769.0,11999.0,2
27730.0,20299.0,0
19539.0,15399.0,0
81260.0,15999.0,2
62780.0,13599.0,2
50420.0,13499.0,0
15070.0,12999.0,0
46211.0,13999.0,0
85574.0,12999.0,2
12495.0,18499.0,0
73250.0,20799.0,2
2411.0,38499.0,1
88147.0,11499.0,2
22744.0,24499.0,1
21564.0,15999.0,0
43003.0,10999.0,0
30555.0,14499.0,0
75270.0,15999.0,2
43765.0,15899.0,0
112066.0,12299.0,2
9163.0,30299.0,1
37062.0,17699.0,0
43132.0,10299.0,0
11505.0,26799.0,1
16173.0,23999.0,1
16627.0,33499.0,1
116523.0,13299.0,2
48656.0,21299.0,0
55110.0,22999.0,0
2553.0,30799.0,1
18255.0,20499.0,0
13844.0,23999.0,1
10085.0,26799.0,1
31586.0,15999.0,0
7950.0,14499.0,0
13678.0,22999.0,0
44223.0,20799.0,0
37053.0,20999.0,0
119555.0,14999.0,2
101535.0,14999.0,2
73835.0,18499.0,2
11400.0,29399.0,1
101650.0,14999.0,2
11000.0,22399.0,0
21733.0,22499.0,0
11492.0,29999.0,1
97194.0,11999.0,2
20049.0,18699.0,0
62960.0,23699.0,0
71454.0,11999.0,2
26941.0,17799.0,0
89750.0,17999.0,2
13107.0,23999.0,1
20805.0,27499.0,1
68117.0,26499.0,1
25625.0,15999.0,0
32718.0,15999.0,0
350.0,32399.0,1
65855.0,11499.0,2
56045.0,22499.0,0
86914.0,8999.0,2
20270.0,22499.0,0
104440.0,16799.0,2
83814.0,12999.0,2
82419.0,18499.0,2
65531.0,14799.0,2
8.0,25999.0,1
69724.0,11999.0,2
74958.0,19499.0,2
70709.0,16999.0,2
41365.0,14999.0,0
4.0,30999.0,1
9177.0,31499.0,1
64699.0,15999.0,2
40172.0,15499.0,0
66979.0,17499.0,2
56866.0,25099.0,1
101919.0,15799.0,2
2779.0,30799.0,1
66886.0,14999.0,2
101638.0,15999.0,2
81010.0,19499.0,2
38100.0,15499.0,0
91636.0,12499.0,2
91538.0,19799.0,2
31770.0,14299.0,0
4595.0,30499.0,1
107369.0,24299.0,2
15960.0,18999.0,0
83805.0,16799.0,2
56644.0,26999.0,1
13442.0,22999.0,0
144538.0,17999.0,2
107568.0,12499.0,2
14445.0,26999.0,1
22280.0,22499.0,0
11122.0,29499.0,1
41003.0,16999.0,0
15265.0,13399.0,0
3990.0,24399.0,1
79668.0,13999.0,2
84300.0,16999.0,2
11774.0,29999.0,1
43184.0,9999.0,0
13890.0,13499.0,0
3622.0,18299.0,0
101691.0,11999.0,2
83050.0,18999.0,2
107250.0,11999.0,2
14599.0,23999.0,1
75622.0,15499.0,2
101625.0,11999.0,2
56949.0,13999.0,0
13670.0,26999.0,1
61290.0,23499.0,0
90155.0,9799.0,2
76970.0,13699.0,2
18421.0,16399.0,0
25769.0,27499.0,1
14146.0,16199.0,0
47295.0,14799.0,0
87700.0,16799.0,2
20297.0,32999.0,1
60560.0,14299.0,2
11471.0,18299.0,0
41176.0,13999.0,0
106880.0,18999.0,2
17797.0,32999.0,1
50145.0,18499.0,0
83761.0,20699.0,2
11888.0,23999.0,1
23310.0,28999.0,1
18026.0,22999.0,0
93664.0,20699.0,2
99086.0,14299.0,2
10132.0,18299.0,0
13573.0,22399.0,0
75430.0,12999.0,2
73645.0,26499.0,1
56265.0,18999.0,0
22836.0,32999.0,1
29230.0,11199.0,0
81151.0,21999.0,2
28612.0,17299.0,0
42841.0,13799.0,0
19728.0,19999.0,0
31236.0,28999.0,1
20494.0,22999.0,0
92192.0,17999.0,2
60068.0,10999.0,2
18980.0,15899.0,0
13346.0,24399.0,1
96651.0,13999.0,2
66634.0,15999.0,2
